Data;Salário mínimo real - R$ - Instituto  de Pesquisa Econômica Aplicada(IPEA) - GAC12_SALMINRE12;
1981.10;681,419178100532;
1981.11;912,467502046061;
1981.12;863,36391060569;
1982.01;809,04753939796;
1982.02;759,131150589844;
1982.03;721,342154149337;
1982.04;682,77888378235;
1982.05;891,272052067203;
1982.06;831,855313602738;
1982.07;781,879124100106;
1982.08;740,645832513675;
1982.09;710,082261904219;
1982.10;683,390292705696;
1982.11;921,320759846808;
1982.12;851,614008443524;
1983.01;780,262206460547;
1983.02;722,196447800902;
1983.03;673,560309359044;
1983.04;632,0628432148;
1983.05;874,008049581495;
1983.06;788,579448789905;
1983.07;707,699382292102;
1983.08;644,259610077536;
1983.09;578,992223793298;
1983.10;525,895026460998;
1983.11;804,47755065131;
1983.12;742,522160994593;
1984.01;678,778022686869;
1984.02;618,5507755983;
1984.03;563,173619705211;
1984.04;514,198733538546;
1984.05;804,712567063432;
1984.06;731,811777917798;
1984.07;670,723380825535;
1984.08;617,777502202333;
1984.09;556,045472365315;
1984.10;503,248098034432;
1984.11;781,840630730004;
1984.12;700,437203065411;
1985.01;626,301296263369;
1985.02;564,497933873622;
1985.03;513,43865441161;
1985.04;472,849182319692;
1985.05;882,157726237404;
1985.06;814,290533505998;
1985.07;739,75117214448;
1985.08;662,784455579079;
1985.09;602,052108198398;
1985.10;546,077629838852;
1985.11;861,39608116971;
1985.12;744,184283480754;
1986.01;647,061590265573;
1986.02;575,321641598837;
1986.03;747,217162490282;
1986.04;744,017873862763;
1986.05;736,102025859292;
1986.06;729,063483615019;
1986.07;722,50740052955;
1986.08;712,313777361259;
1986.09;703,925709227206;
1986.10;693,988247475632;
1986.11;671,897453198958;
1986.12;626,387086212095;
1987.01;643,459344608924;
1987.02;564,71884774351;
1987.03;699,947381393097;
1987.04;578,664789221143;
1987.05;563,911027399139;
1987.06;557,862617950125;
1987.07;507,468344381769;
1987.08;482,912958298073;
1987.09;549,05941446107;
1987.10;544,700482198688;
1987.11;538,570128532439;
1987.12;567,066394441927;
1988.01;595,812339691605;
1988.02;603,645878898892;
1988.03;604,112347700863;
1988.04;593,985489149577;
1988.05;602,828579738541;
1988.06;586,698217562274;
1988.07;572,406858512849;
1988.08;593,027961443542;
1988.09;569,591571005743;
1988.10;561,994066639655;
1988.11;569,922105581766;
1988.12;582,435860022048;
1989.01;578,248299042764;
1989.02;584,059894868773;
1989.03;551,52021476939;
1989.04;510,38336864373;
1989.05;557,26395695323;
1989.06;634,868202759868;
1989.07;622,077723780456;
1989.08;601,424321384463;
1989.09;570,524662956334;
1989.10;629,115893415953;
1989.11;618,654392184782;
1989.12;578,335153203962;
1990.01;560,147141485608;
1990.02;502,582791790947;
1990.03;505,6794039747;
1990.04;440,986660557382;
1990.05;410,946474295581;
1990.06;386,504355674521;
1990.07;436,336379451085;
1990.08;412,648667369169;
1990.09;420,341339032831;
1990.10;389,705650596055;
1990.11;432,10256043058;
1990.12;384,772223092092;
1991.01;443,720915749395;
1991.02;476,075837130857;
1991.03;455,459548693246;
1991.04;433,735414588392;
1991.05;406,576325682029;
1991.06;366,841539565997;
1991.07;327,122528962644;
1991.08;282,934354612208;
1991.09;604,569136141133;
1991.10;499,320458679564;
1991.11;394,784703044576;
1991.12;317,990119964126;
1992.01;577,440514581012;
1992.02;463,880522984245;
1992.03;381,419174201538;
1992.04;315,639179242548;
1992.05;607,168943656436;
1992.06;502,415319152582;
1992.07;411,546077400087;
1992.08;336,285335782469;
1992.09;615,820827411699;
1992.10;488,475681071791;
1992.11;397,490077695174;
1992.12;316,523586166929;
1993.01;588,733368092047;
1993.02;471,779180634051;
1993.03;505,413511829063;
1993.04;393,716142672337;
1993.05;600,118189416459;
1993.06;460,319177781181;
1993.07;493,52131008985;
1993.08;441,453860835696;
1993.09;564,979870098655;
1993.10;527,285494779403;
1993.11;484,347198382554;
1993.12;439,199889088649;
1994.01;544,733374128494;
1994.02;504,752818458972;
1994.03;414,298274861473;
1994.04;412,431261422909;
1994.05;415,618373424696;
1994.06;327,09542354566;
1994.07;366,381388972908;
1994.08;359,724854854961;
1994.09;383,285602217457;
1994.10;372,773623869544;
1994.11;362,055705407515;
1994.12;356,002215054599;
1995.01;350,94929798686;
1995.02;347,438773478463;
1995.03;341,898710556271;
1995.04;333,591449925806;
1995.05;466,756424202436;
1995.06;456,798052339026;
1995.07;445,831133216372;
1995.08;441,328319956835;
1995.09;436,223792540249;
1995.10;430,201176818645;
1995.11;423,80323993491;
1995.12;416,924314465709;
1996.01;410,925332830947;
1996.02;408,029868429257;
1996.03;406,850188080952;
1996.04;403,100142455627;
1996.05;445,767272119033;
1996.06;439,917404483928;
1996.07;434,701998146432;
1996.08;432,540498269998;
1996.09;432,454357703428;
1996.10;430,817849821075;
1996.11;429,357118795495;
1996.12;427,943739279588;
1997.01;424,504449190892;
1997.02;422,601267145751;
1997.03;419,748224513173;
1997.04;417,244993523961;
1997.05;446,555629011964;
1997.06;444,999256189565;
1997.07;444,200001414237;
1997.08;444,331963473549;
1997.09;443,889257903588;
1997.10;442,606955639479;
1997.11;441,943703787085;
1997.12;439,439528229953;
1998.01;435,736026524978;
1998.02;431,28455105936;
1998.03;408,765705026982;
1998.04;429,353764976864;
